id,message,created_time,updated_time,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
1234,"Follow the link below to read a fantastic Compilation of Advice for New and Aspiring Data Scientists, written by Connor Dewey, a Data Scientist at Squarespace.  👉https://zurl.co/3EY6",1/21/2020 9:00,1/21/2020 9:00,0,2,2,0,0,0,0,0,2
1235,Meet the winners of the Sendy Logistics Challenge!! 😀 A special thank you to the winners for their generous feedback. Here are their insights.  Read more👉https://zurl.co/FpH9,1/20/2020 16:00,1/20/2020 16:00,0,4,4,0,0,0,0,0,4
1236,View of the end-cap calorimeter and TGC big wheel from the cryostat on side A of the ATLAS cavern 😀 Zindi is so excited to be hosting a challenge for CERN  👉https://zurl.co/rZry,1/20/2020 9:00,1/20/2020 9:00,0,1,1,0,0,0,0,0,1
1237,Isn't this visually pleasing to see? 😀 Art director and visual designer Dimitris Ladopoulos has created an algorithm that can transform a historic painting into a contemporary color study.  👉https://zurl.co/4aEa,1/19/2020 16:00,1/19/2020 16:00,0,0,0,0,0,0,0,0,0
1238,“Self Reflected was created to remind us that the most marvelous machine in the known universe is at the core of our being and is the root of our shared humanity”  Use your marvelous machine to solve our challenges! 👉https://zurl.co/L7ZD 👉https://zurl.co/nVg6,1/19/2020 9:00,1/19/2020 9:00,0,0,0,0,0,0,0,0,0
1239,"This is a simple starter code to get you going for the UNICEF Arm 2030 Vision #1 Flood Prediction in Malawi Competition on Zindi, by Daruis Moruri  Check it out on GitHub👉https://zurl.co/0g0I",1/18/2020 16:00,1/18/2020 16:00,0,2,2,0,0,0,0,0,2
1240,$5000 USD | Help us empower the women both in South Africa and within the data science field! There is still time to enter this challenge before it closes next month. Are you on the leaderboard? 👉https://zurl.co/XVr1,1/18/2020 9:00,1/18/2020 9:00,0,4,4,0,0,0,0,0,4
1241,Nigerian Scientist Develops 1st Global AI Platform for Language Translation  Read more👉https://zurl.co/eVAZ,1/17/2020 16:00,1/17/2020 16:00,0,2,2,0,0,0,0,0,2
1242,We have officially reached 9000 users on Zindi.Africa 😀 A big thank to everyone who participates on our platform. Your contribution adds so much value to the our continent. Together we can make a big impact!,1/17/2020 13:00,1/17/2020 13:00,0,6,6,0,0,0,0,0,6
1243,Some other languages that have been submitted for part 3 of the AI4D African Language Dataset Challenge. There are over 2000 languages in Africa. Get your native language represented in machine learning now by making a submission to this challenge! 👉https://zurl.co/U6dW,1/17/2020 9:00,1/17/2020 9:00,0,1,1,0,0,0,0,0,1
1244,GET YOUR QUESTIONS READY & TUNE IN NOW!! Our Q&A with CERN ATLAS Experiment at CERN  researcher @AMROUCHEsabrina  commences in 30 minutes. We look forward to engaging with you 😀  Webinar link👉https://zurl.co/8mby,1/16/2020 18:30,1/16/2020 18:30,0,6,6,0,0,0,0,0,6
1245,"SOUND ON🔊FOWL ESCAPADES IS LIVE! This focuses on 40 bird calls heard in SA. The training data consists of 1857 audio files, recorded by hundreds of contributors and the goal is to build a classification model able to predict the species of bird 😃 👉https://zurl.co/QcRc",1/16/2020 17:30,1/16/2020 17:30,0,3,2,1,0,0,0,0,2
1246,Make sure to tune in TONIGHT for our Q&A with CERN  ATLAS Experiment at CERN researcher @AMROUCHEsabrina and a resident Zindi data scientist to help you with the TIC-HEAP Cirta Particle Classification Challenge. 😀 Webinar link👉https://zurl.co/jpPb,1/16/2020 16:00,1/16/2020 16:00,0,1,1,0,0,0,0,0,1
1247,We only have submissions for these languages for part 3 of the AI4D African Language Dataset Challenge. There are over 2000 languages in Africa. Get your native language represented in machine learning now by making a submission to this challenge! 👉https://zurl.co/U6dW,1/16/2020 9:00,1/16/2020 9:00,0,4,4,0,0,0,0,0,4
1248,ONE MORE DAY UNTIL  FOWL ESCAPADES LAUNCHES!! 😀 This is a Southern African Bird Call Audio Identification Challenge! Predict the species of bird from only an audio clip! Stay tuned for more details 😀,1/15/2020 16:00,1/15/2020 16:00,0,1,1,0,0,0,0,0,1
1250,Only 19 days left to enter the Uber Movement SANRAL Cape Town Challenge! Make sure to get yourself on the leaderboard! 🤓 👉https://zurl.co/UjBu,1/15/2020 9:00,1/15/2020 9:00,0,2,2,0,0,0,0,0,2
1251,NEW COMPETITION! Fowl Escapades focuses on 40 birds whose calls are frequently heard in Southern Africa. The goal is to build a classification model able to predict which bird is calling in an audio clip.  This competition will go live on Zindi.Africa on Thursday! Stay tuned! 😀,1/14/2020 16:00,1/14/2020 16:00,0,4,4,0,0,0,0,0,4
1252,"Get your questions ready!! In 2 days, our Q&A with CERN @ATLASexperiment researcher @AMROUCHEsabrina commences. We look forward to engaging with you 😀 Webinar link👉https://zurl.co/8mby",1/14/2020 9:00,1/14/2020 9:17,0,1,1,0,0,0,0,0,1
1253,These trash sorting robots are fighting the climate crisis with artificial intelligence! Check out this video describing how this works. #artificialintelligence #machinelearning #climatecrisis #recycling #robots,1/13/2020 16:00,1/13/2020 16:00,0,0,0,0,0,0,0,0,0
1254,We would like to know what motivates our users so that we can continue to inspire those who engage with our platform 😀,1/13/2020 9:00,1/13/2020 9:00,0,2,2,0,0,0,0,0,2
1255,"Roger Magoulas, VP of Radar at O’Reilly takes a look at the new developments in automation, hardware, tools, model development, and more that will shape (or accelerate) AI in 2020.  Read more👉https://zurl.co/T0U0",1/12/2020 16:00,1/12/2020 19:14,1,1,0,1,0,0,0,0,0
1256,Just some valuable advise from a data visualization pioneer and statistician  🙂,1/12/2020 9:00,1/12/2020 9:00,0,4,4,0,0,0,0,0,4
1257,"Self-described “designer, data geek, fractal nut” Nicholas Rougeux merges open-source music with data visualization to create colorful imagery based on famous classical music scores.  Here is Allegro con brio, Symphony No. 5, Ludwig van Beethoven. Video👉https://zurl.co/vG1D",1/11/2020 19:00,1/11/2020 19:00,0,2,2,0,0,0,0,0,2
1258,"Learn how researchers collaborated with IBM and, for the first time, used AI to reveal 143 ancient geoglyphs in Peru. 😀 👉https://zurl.co/sXcc",1/11/2020 9:00,1/11/2020 9:00,0,3,3,0,0,0,0,0,3
1259,"Flashback Friday! It has been more than a year since the AI KENYA Zindi.Africa Hackathon, which took place in October 2018. We have come so far since then. We would like to thank all of you for your support! 😀 #Zindi #Flashbackfriday #hackathon #machinelearning #AI #datascience",1/10/2020 16:00,1/11/2020 10:56,0,6,6,0,0,0,0,0,6
1260,We hope that you are preparing yourself for the Q&A taking place next week Thursday! We look forward to hearing your questions 😀 #Zindi #webinar #machinelearning #AI #CERN #ATLAS,1/10/2020 9:00,1/10/2020 9:00,0,2,2,0,0,0,0,0,2
1261,Help Kenyan non-profit organization Local Ocean Conservation  anticipate the number of turtles they will rescue from each of their rescue sites as part of their By-Catch Release Programme.  Are you on the leader board? 👉https://zurl.co/20vu,1/9/2020 16:00,1/9/2020 16:00,0,1,1,0,0,0,0,0,1
1262,Zindi.Africa is thrilled to be recognised as one of the Champions of AI in 2019 by Alliance4ai 😀 Our mission for 2020 is to keep growing the machine learning and AI movement in Africa! 💪 Read more👉https://zurl.co/N1k7,1/9/2020 9:00,1/9/2020 9:00,0,11,11,0,0,0,0,0,11
1263,"Zindi UberCT Part 2: Stepping Up - Learn about extra features you can add on the road segments, bring in an external weather dataset, create a more complex model and receive hints on other things to try. 😀 Only 26 days left to get on the leaderboard! 👉https://zurl.co/Jopw",1/8/2020 16:00,1/8/2020 16:00,0,6,6,0,0,0,0,0,6
1264,Do you want to build Africa's first machine learning model for particle classification? Here is an opportunity to engage with CERN ATLAS Experiment at CERN researcher @AMROUCHEsabrina and a resident Zindi data scientist in a Q&A to help you with the TIC-HEAP Challenge. Don't miss out!!,1/8/2020 10:00,1/8/2020 10:00,0,8,8,0,0,0,0,0,8
1265,"November Review: AI4D We are excited to announce that the top 2 submissions for November were received from Oshingbesan Adebayo and Thierno Diop. The data was prepared through a collaboration between Baamtu Datamation, and @Weego   Read more👉https://zurl.co/7OHP",1/7/2020 16:00,1/7/2020 16:00,0,2,2,0,0,0,0,0,2
1266,"In Africa, Alliance4ai advocates for the use of AI to improve access to healthcare, efficiency in cultivating food for millions and providing credit to support business activity.  Read more👉https://zurl.co/MDMO",1/7/2020 9:00,1/7/2020 9:00,0,7,6,1,0,0,0,0,6
1267,TIC-HEAP Cirta Particle Classification Challenge: Currently no machine learning solution exists for Particle Identification. The goal of this challenge is to build a machine learning model to read images of particles and identify them.  👉https://zurl.co/yfgJ  (Image: © CERN),1/6/2020 9:00,1/6/2020 9:00,0,2,1,1,0,0,0,0,1
1268,"Zindians, what do you plan on achieving this year? Our competitions must be on that list. Are you on our leaderboards? 👉https://zurl.co/wVfw",1/5/2020 9:00,1/5/2020 9:12,1,5,5,0,0,0,0,0,5
1269,"For those of you who entered the AI Art challenge that was running on Zindi a few months ago, here is an intriguing article on AI for Artists. 👉https://zurl.co/XfdE",1/4/2020 9:00,1/4/2020 9:00,0,1,1,0,0,0,0,0,1
1270,The 3rd part of the AI4D African Language Dataset Challenge has commenced. Are you on the leaderboard? 👉https://zurl.co/oyoZ,1/3/2020 9:00,1/3/2020 9:00,0,3,3,0,0,0,0,0,3
1271,The goals of the UN SDG fall directly inline with our goals here at Zindi in partnership with @WomenInBigData  Enter our competition and support the movement of empowerment 👉https://zurl.co/1FXw,1/2/2020 9:00,1/2/2020 9:00,0,4,3,1,0,0,0,0,3
1272,Zindi wishes you a happy and prosperous 2020!! Check out 👉https://zurl.co/lxQR for a list of competitions that we are running this year. Data gathered by these competitions are crucial to the transformation of the African continent.,1/1/2020 9:00,1/1/2020 9:00,0,8,8,0,0,0,0,0,8
1273,Inspiring words from a legend.,12/31/2019 9:00,12/31/2019 9:00,0,9,7,2,0,0,0,0,7
1274,Answer: In Java is that String is immutable but both StringBuilder and StringBuffer are mutable. StringBuilder isn't synchronized like StringBuffer and that's why its faster and should be used for temporary String manipulation.,12/30/2019 9:00,12/30/2019 9:00,0,0,0,0,0,0,0,0,0
1276,Question time! We would love to see your answers. The correct answer will released tomorrow 😉,12/29/2019 9:00,12/29/2019 19:11,1,4,4,0,0,0,0,0,4
1277,"Womxn in Big Data South Africa: Female-Headed Households in South Africa $5,000 USD  👉 https://zurl.co/BSmk",12/28/2019 9:00,12/29/2019 19:17,1,4,4,0,0,0,0,0,4
1278,"We would like to show appreciation to one of our most dedicated Zindians, Davis David, operating in Tanzania.  😀",12/27/2019 9:00,12/27/2019 9:00,0,5,4,1,0,0,0,0,4
1279,"Here at Zindi, we have a strong focus on liberating African data science for the creation of transformation in our local communities.",12/26/2019 9:00,12/26/2019 9:00,0,3,3,0,0,0,0,0,3
