id,message,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
102,Register now for our online Data Science Course and change the course of your career.  https://www.youtube.com/watch?v=tCkwnPur7jA,1,7,6,1,0,0,0,0,6
103,Register now for our SQL for Data Science course to turbo-charge your career.  https://www.youtube.com/watch?v=W-6qKteINlQ&feature=emb_logo,1,8,7,1,0,0,0,0,7
104,Register now for one of our cutting-edge DIGITAL SKILL Courses and change the trajectory of your career.  https://explore-datascience.net/about-us/our-courses,0,5,4,1,0,0,0,0,4
106,Register now for our accredited Data Science on-line course. Change the trajectory of your career and join EXPLORE.  https://www.youtube.com/watch?v=aeCGUxAcIWQ&list=PLXzqtyJRzR_Sx7uc1xtViCTFd_b88xrNV&index=11,0,9,8,1,0,0,0,0,8
107,Take a tour of our Data Science Programme and see the Scientists who design and teach at EXPLORE.  https://youtu.be/kiTcVtZ5NCY,0,7,6,1,0,0,0,0,6
108,AI. Machine Learning. Data Science. What do they all mean?   Read the article below to EXPLORE AI!   https://www.vogue.co.uk/arts-and-lifestyle/article/how-to-talk-to-robots-tabitha-goldstaub,0,12,11,1,0,0,0,0,11
109,"A recommender system is an AI technique which finds relationships between features. Our data scientists learnt how to build this recommender system, which works similarly to Netflix's!   https://www.wsj.com/articles/retailers-use-ai-to-improve-online-recommendations-for-shoppers-11604330308",0,7,7,0,0,0,0,0,7
110,How can AI help the fight against Covid-19?   https://www.washingtonpost.com/health/covid-19-artificial-intelligence/2020/10/30/7486db84-1485-11eb-bc10-40b25382f1be_story.html,0,8,7,1,0,0,0,0,7
111,Remember to apply for the ONE YEAR FULL DATA SCIENCE course!   The most in demand and future proof careers require DATA.   Head over to --> https://explore-digital.net/long-courses/data-analytics  https://www.cajnewsafrica.com/2020/10/22/pandemic-makes-data-science-skills-vital-for-sa/,0,7,7,0,0,0,0,0,7
112,Great read on the trends for Data Science!  https://aerospace-journal.com/uncategorized/473555/data-science-and-machine-learning-service-market-2020-research-strategies-swot-analysis-future-development-trends-till-2027-international-business-machine-fico-att-hewlett-packard-enterpri/,0,4,4,0,0,0,0,0,4
113,Apply now for one of our of DIGITAL SKILL Courses and take your career to the next level.  http://brainstormmag.co.za/features/15078-taking-sexy-skills-to-the-world,1,15,14,1,0,0,0,0,14
114,Register now for one of our accredited DIGITAL SKILL Courses.  https://www.htxt.co.za/2020/10/21/explore-data-science-academy-confirms-2021-courses-along-with-new-additions/,1,6,6,0,0,0,0,0,6
115,Sign up now for our expanded range of accredited DIGITAL Qualifications and Short Courses.  https://explore-datascience.net,1,9,9,0,0,0,0,0,9
116,Reminder to apply for the 1 YEAR DATA SCIENCE COURSE!   We'll give you skills in:  ✅ Advanced coding. ✅ Databases in the industry. ✅ Cloud systems. ✅ Dashboards and visuals in business. ✅ Building real world machine learning and AI models.  https://www.itweb.co.za/content/dgp45va6r9g7X9l8,4,15,12,3,0,0,0,0,12
117,Great initiative to drive the growing AI companies in South Africa!   https://techcentral.co.za/reshaad-shas-new-venture-britegaze-eyes-r500m-ai-fund/101953/,0,8,7,1,0,0,0,0,7
118,Digitisation will transform the financial industry.   https://www.fintechmagazine.com/technology-and-ai-2/digital-transformation-critical-financial-services,0,5,5,0,0,0,0,0,5
119,"Child abuse and trafficking are still huge societal problems across the world. With AI and new technology, we are stepping up the fight against these issues!  https://www.analyticsinsight.net/top-8-ai-technologies-mitigate-child-abuse-child-trafficking/",0,8,8,0,0,0,0,0,8
120,"""Remote Jobs"" are the hottest searches now. The ""new normal"" requires digital upskilling!  https://businesstech.co.za/news/finance/438895/the-most-popular-job-searches-in-south-africa-right-now-and-what-they-pay/",0,5,4,1,0,0,0,0,4
121,Don't forget to apply for the Data Science Course!   We beat COVID with our fully virtual platform and online systems. Amazing things. Amazing people.  https://stuff.co.za/2020/09/09/explore-data-science-academy-learnerships-for-2021-are-now-open-for-registration/,4,11,9,2,0,0,0,0,9
122,The Silicon Valley of South Africa!   https://www.iol.co.za/technology/gadgets/african-news-agency-and-silicon-durbs-join-forces-to-open-up-the-tech-industry-to-startups-96b643b0-f89d-43e4-9f4c-5602788e0f93,0,3,3,0,0,0,0,0,3
123,Applications for the 1 Year Full Data Science course are still open!   Learn Python Programming. Learn Databases and Dashboards.  Learn Machine Learning.   FREE TUITION and SPONSORED to the top selected candidates!   https://explore-datascience.net/long-courses/data-science/3/2,9,29,26,3,0,0,0,0,26
124,Programmable medicine that can be personalised for the patient. This is the future.  https://www.iol.co.za/business-report/opinion/tech-news-hyper-personalised-medicine-427ade85-9d53-4fa0-a14c-352bfceed5bf,1,9,9,0,0,0,0,0,9
125,"""Shift the goals, muster the resources, and align people"" - AI and Data need the change and the people in order to run successfully.  https://sloanreview.mit.edu/article/getting-serious-about-data-and-data-science/",0,4,4,0,0,0,0,0,4
126,https://www.itweb.co.za/content/dgp45va6r9g7X9l8,0,10,9,1,0,0,0,0,9
127,Remember to apply for our one year FULL DATA SCIENCE COURSE! Fully sponsored. Learn the newest digital skills. Build a smart future!   https://explore-datascience.net/find-your-course  https://www.bizcommunity.com/Article/196/379/208187.html,4,10,8,2,0,0,0,0,8
128,"""Data is a precious thing and will last longer than the systems themselves"" - Tim Berners-lee, Inventor of the World Wide Web  APPLY FOR THE DATA SCIENCE COURSE --> https://explore-datascience.net/long-courses/data-science/2/2  https://www.bizcommunity.com/Article/196/379/208187.html",1,11,11,0,0,0,0,0,11
129,☑️ COVID resistant learning platform. ☑️ Sponsored by a leading company. ☑️ +R360 000 average starting salary. ☑️ Only need a matric to qualify.  Apply now for the one year Data Science course in Johannesburg and Cape Town!  https://explore-datascience.net/long-courses/data-science/2/2  https://stuff.co.za/2020/09/09/explore-data-science-academy-learnerships-for-2021-are-now-open-for-registration/,4,13,13,0,0,0,0,0,13
130,AI needs to be ethical. Biases and representation are hot topics for AI!  Interested in the world of the AI? Apply for our one year Data Science course - sponsored and accredited!  https://explore-datascience.net/long-courses/data-science/2/2  https://diginomica.com/why-ai-industry-urgently-needs-more-uncomfortable-conversations-about-bame-representation,0,6,6,0,0,0,0,0,6
132,What makes AI successful?  https://www.forbes.com/sites/forbestechcouncil/2020/09/14/the-surprisingly-critical-yet-often-undervalued-ingredient-for-ai-success/,0,2,2,0,0,0,0,0,2
133,Building a work space for data science? Here are some tips to keep a culture with data.  https://www.analyticsinsight.net/top-10-steps-build-data-driven-work-culture/,0,3,3,0,0,0,0,0,3
134,How much do our graduates earn after completing our one year Data Science course? 👀  Applications for the sponsored courses in Cape Town and Johannesburg are now open!   https://explore-datascience.net/long-courses/data-science/2/2  https://businesstech.co.za/news/enterprise/432382/this-company-tracked-the-placement-of-85-data-science-graduates-in-south-africa-heres-how-much-they-earn/,2,10,10,0,0,0,0,0,10
135,What does evolution in the data industry teach us? Here are some lessons  on how to execute a great data plan!  https://www.iol.co.za/business-report/opinion/opinion-what-the-evolution-of-data-analytics-can-teach-us-about-business-success-0f3aad40-943b-4c4e-af49-81841974ebcb,0,8,8,0,0,0,0,0,8
136,Great to be in partnership with Zindi and watching a fellow African company reach new heights!  https://ventureburn.com/2020/09/sa-tech-startup-launches-new-recruitment-platform-for-data-scientists/,0,15,11,4,0,0,0,0,11
137,Our applications for our 1 year Data Science course is now open! What does it entail?  ✅ A one year comprehensive course training you as a data scientist ✅ Fully paid for and sponsored by a big corporate company ✅ Get a foot into the world of AI and programming ✅ R360 000 average salary  ✅ 90+ graduation rate   APPLY HERE > https://explore-datascience.net/long-courses/data-science/2   https://www.techfinancials.co.za/2020/09/10/hundreds-of-free-fully-accredited-data-science-learnerships-up-for-grabs/,1,20,15,5,0,0,0,0,15
138,"EXPLORE welcomes our newest CTO - Kevin Tretheway. Kevin has over 20 years in the Software industry and has been the head engineer at a Silicon Valley based company. He started his career in an academy very much like the EXPLORE Data Science Academy without university training, and EXPLORed his way to the top!   Welcome to the team!",1,46,38,8,0,0,0,0,38
139,How has data shaped the new normal? How is society benefiting from the AI boom?  https://talkiot.co.za/2020/09/07/making-ai-accessible-to-everyone/,0,2,1,1,0,0,0,0,1
140,Data breaches have become major problems. AI is redefining how we tackle cybersecurity.  https://www.dcvelocity.com/articles/47087-how-ai-and-machine-learning-are-redefining-cybersecurity,0,4,4,0,0,0,0,0,4
141,Who is excited for the 2021 applications for our one year Data Science Course? 👀  Sponsored by a top company ☑️ +90% job placement ☑️ R360 000 average starting salary ☑️ Enter the exciting world of Data Science ☑️,10,35,27,8,0,0,0,0,27
142,"Dave Strugnell, Head of Actuarial Sciences at UCT and co-founder of EXPLORE, talks about the academy.   https://podcasts.google.com/feed/aHR0cHM6Ly9pb25vLmZtL3Jzcy9jaGFuLzM1MDM/episode/aHR0cDovL2lvbm8uZm0vZS81NTY0NDE?hl=en-ZA&ved=2ahUKEwj5mvn_xcXrAhVJZMAKHUgUDTgQjrkEegQICxAN&ep=6",1,6,6,0,0,0,0,0,6
143,What is it like working as a data scientist?   https://www.siliconrepublic.com/people/data-scientist-laura-sinnott-aon,0,8,7,1,0,0,0,0,7
144,How will data science change? Here are 3 areas where data will change as you progress in the data world.  http://www.cofmag.com/2020/08/how-3-things-will-change-the-way-you-approach-data-science/,0,2,2,0,0,0,0,0,2
145,https://startupng.com.ng/uncategorized/203370/data-science-and-machine-learning-service-market-growth-overview-with-detailed-analysis-2020-2026-amazon-web-services-google-mango-solutions-zs-datascience-com-latentview-analytics-and-more/,0,4,4,0,0,0,0,0,4
146,"The future will be data. No matter your career, you will need to work with data in some aspect.   https://www.theladders.com/career-advice/why-data-analysis-is-going-to-be-necessary-for-your-job",0,5,5,0,0,0,0,0,5
147,Here are some beginner concepts every aspiring data scientist should be comfortable explaining!   https://blog.dataiku.com/an-introduction-to-key-data-science-concepts,0,6,6,0,0,0,0,0,6
148,We have partnered with Amazon Web Services (AWS) to deliver our courses on their platform. AWS has invested in education within the technology industry.,0,18,13,4,0,1,0,0,13
149,Really cool use of Machine Learning and AI in the sporting world!   https://www.formula1.com/en/latest/article.hamilton-schumacher-senna-machine-learning-reveals-the-fastest-f1-driver-of.3DwwPLW4glCmlunjciH1Cz.html,0,5,3,0,0,2,0,0,3
150,"As COVID progresses, consider what the new normal of online technologies mean for your company. We offer solutions for a technologically driven future.  https://www.youtube.com/watch?v=07CpMmY2NTk",0,5,4,1,0,0,0,0,4
151,We offer a host of enterprise learning solutions. Is your company interested in certified and accredited data skills? Maybe you need data solutions or resources?  Visit our website at https://explore-datascience.net/   https://youtu.be/WegG4dEiMNU,0,2,2,0,0,0,0,0,2
152,"Investing in machine learning and data, is investing in the future of technology.  https://www.meritalk.com/articles/energy-department-investing-37m-in-ai-ml-data-science/",0,4,4,0,0,0,0,0,4
153,How do you set-up a data science project within a company?  https://www.consultancy.eu/news/4689/four-steps-for-getting-started-with-data-science,0,4,4,0,0,0,0,0,4
154,This will be our first reach outside of Africa. EXPLORE with gumption.   https://www.itweb.co.za/content/4r1ly7RbBZk7pmda/G3mYZRXM9yMOgA8L,1,51,41,9,0,1,0,0,41
155,What makes us unique.  https://www.techfinancials.co.za/2020/08/12/south-african-startup-explore-wants-to-be-a-global-player-in-data-science/,0,20,18,1,0,1,0,0,18
156,We are proud to train data scientists for African Bank!   https://www.htxt.co.za/2020/07/21/why-african-bank-is-training-data-scientists-and-making-them-a-key-part-of-its-workforce/,1,27,20,7,0,0,0,0,20
158,Here is a really cool tutorial on how you can make a game using python!   https://www.androidauthority.com/how-to-make-a-game-in-python-1136589/,0,6,6,0,0,0,0,0,6
159,Python 3.9 is coming soon! Here are some cool new features.  https://thenextweb.com/syndication/2020/07/29/a-look-at-the-best-new-features-in-python-3-9/,0,6,6,0,0,0,0,0,6
160,How do you build a workforce for artificial intelligence?  https://www.forbes.com/sites/forbestechcouncil/2020/07/28/building-the-future-of-work-with-artificial-intelligence/,0,3,3,0,0,0,0,0,3
161,https://www.forbes.com/sites/bernardmarr/2020/08/03/3-important-ways-artificial-intelligence-will-transform-your-business-and-turbocharge-success/,0,5,4,1,0,0,0,0,4
162,"Data science involves gathering, analysing explaining the data and then deploying a workable solution. Read more about what data science entails below!  https://www.unite.ai/what-is-data-science/",0,6,6,0,0,0,0,0,6
163,EXPLORE’s courses are all based on Python coding. Our interns use it as their main language to code their machine learning algorithms!  https://www.cdotrends.com/story/14950/python-use-data-scientists-growing,1,18,14,3,0,1,0,0,14
164,What exactly is machine learning? How is it related to data and AI?  https://youtu.be/HcqpanDadyQ,0,7,7,0,0,0,0,0,7
165,COVID has increased the demand for AI technology and solutions.  https://data-economy.com/covid-19-the-latest-ai-demand-driver/,1,7,7,0,0,0,0,0,7
166,How has technology changed the way businesses operate during the global lockdown?  https://www.iol.co.za/business-report/tech-news-augmented-organisations-augmented-collaboration-and-ai-51064070,0,4,4,0,0,0,0,0,4
167,Here are some tips on getting that data science job!  https://www.analyticsinsight.net/tips-land-first-data-science-job/,0,8,8,0,0,0,0,0,8
168,"Data scientists are sought after, even during the COVID pandemic. As someone looking for a data scientist, here is what you should consider.  https://www.techrepublic.com/article/one-key-to-hiring-your-next-data-scientist/",0,4,4,0,0,0,0,0,4
169,Here is a life as a data scientist who has been through the EXPLORE academy.   https://podcasts.google.com/feed/aHR0cHM6Ly9wb2RjYXN0c3R1ZGlvcy5jby56YS9yc3MvZXhwbG9yZS10aGUtZnV0dXJlLnhtbA/episode/ZXhwbG9yZS10aGUtZnV0dXJlLTAwMw,0,8,7,1,0,0,0,0,7
170,Here are 10 ways AI and Data is transforming Enterprise Software.  https://www.informationweek.com/big-data/ai-machine-learning/10-ways-ai-is-transforming-enterprise-software/d/d-id/1338300,0,8,8,0,0,0,0,0,8
171,"When analysing data, how would you approach it?   https://www.analyticsinsight.net/how-to-approach-data-analytics/",0,7,7,0,0,0,0,0,7
172,Data science is needed for the future where information is everything!   https://www.forbes.com/sites/ankitmishra/2020/07/13/data-science-the-key-tool-cities-need-to-reduce-carbon-emissions/,0,11,11,0,0,0,0,0,11
173,https://www.itweb.co.za/content/JBwEr7nBxZ476Db2,0,33,28,5,0,0,0,0,28
174,"Life at EXPLORE? We work but enjoy the start-up life! Take a listen to our first podcast of the year hosted by our Founder, Shaun Dippnall.  https://podlink.to/explore",0,9,9,0,0,0,0,0,9
175,50 companies leading the USA's economy with AI!   https://www.forbes.com/sites/alanohnsman/2020/07/03/ai-50-americas-most-promising-artificial-intelligence-companies/#34760acd5c99,0,4,4,0,0,0,0,0,4
176,Innovation unlocks economical potential. Excited to see the relaunch of the Innovation Challenge by Cell C  https://www.htxt.co.za/2020/07/06/cell-cs-innovation-challenge-relaunched-for-local-ict-smes-and-entrepreneurs/,0,11,10,1,0,0,0,0,10
177,We are proud to have a few EXPLORERS working on the 11 official South African languages in relation to the AI space!   https://qz.com/1876793/south-african-scientists-use-news-headlines-to-power-ai/,0,11,10,1,0,0,0,0,10
178,"To survive the pandemic and enter into future industries, South Africa needs to build a digital and smart economy!  https://www.dailymaverick.co.za/opinionista/2020-07-06-africa-and-south-africa-must-embrace-4ir-to-compete-in-the-global-economic-race/",0,15,15,0,0,0,0,0,15
179,Great to see South African AI products making waves!  https://techpoint.africa/2020/07/02/south-african-startup-voyc-is-rebranding-and-going-global/,0,19,16,3,0,0,0,0,16
180,https://allafrica.com/stories/202006250789.html  An up-coming virtual conference addressing all things Fourth Industrial Revolution related! South Africa is in a prime position to establish a strong data driven foundation.,0,6,5,1,0,0,0,0,5
181,https://businesstech.co.za/news/technology/410869/these-are-the-tech-jobs-that-will-be-needed-in-south-africa-minister/,0,4,4,0,0,0,0,0,4
182,"Corporate Social Investment (CSI) is huge in developing the community. We began as a partnership with BCX to host our first cohort of sponsored students in Cape Town. Now with more than 5 sponsors and 3 locations across South Africa producing over 200 data scientists yearly, we are growing and assisting our South African youth!   https://mybroadband.co.za/news/industrynews/357971-b-bbee-more-than-just-points.html",0,6,4,2,0,0,0,0,4
184,"1 DAY LEFT to apply for Africa's leading online data science course for the July in take!  Learn coding, databases, dashboards and AI. Learn future-proof skills.  APPLY NOW!  https://explore-datascience.net/long-courses/data-science/2",0,3,2,1,0,0,0,0,2
185,Only a few days left to register for our online data science course!   >We assist with job placement (90+% placement) >We offer the most comprehensive Data Science Course in Africa >Our graduates pursue some of the highest paying jobs (R360000 average starting salary)  Register Now!  https://explore-datascience.net/long-courses/data-science/2,1,4,4,0,0,0,0,0,4
186,5 days left to register for our market-leading on-line Data Science course.  Sign up now!  https://www.youtube.com/watch?v=aeCGUxAcIWQ&list=PLXzqtyJRzR_Sx7uc1xtViCTFd_b88xrNV&index=11,0,4,4,0,0,0,0,0,4
187,The business world is in need of new innovation and disruption. Future start-ups need future skills! Here are 10 start-ups killing it with data and AI!  https://www.crn.com/slide-shows/applications-os/the-10-hottest-data-science-and-machine-learning-startups-of-2020-so-far-,0,9,9,0,0,0,0,0,9
188,Learn Data Science. Predict the future. Solve complex problems.   Our online applications are still open for the July in take!   https://explore-datascience.net/long-courses/data-science/2,0,3,3,0,0,0,0,0,3
189,New technologies = new possibilities. Here 10 ways AI is being used for good causes!  https://www.forbes.com/sites/bernardmarr/2020/06/22/10-wonderful-examples-of-using-artificial-intelligence-ai-for-good/,0,5,5,0,0,0,0,0,5
190,"These are the 3 trends for the digitisation in the banking sector, shaped by COVID-19.  https://www.weforum.org/agenda/2020/06/digitalization-is-changing-banking-these-three-trends-will-help-shape-its-future/",0,9,9,0,0,0,0,0,9
191,Well done to Wits - University of the Witwatersrand for making a historic move towards the fight on CoVid-19. First in Africa!  https://businesstech.co.za/news/technology/410103/south-africa-starts-first-covid-19-vaccine-trial/,0,16,14,2,0,0,0,0,14
192,Our EXPLORERs have fun teaching the latest advances in Data Science. Out students learn using real-world examples that are engaging and lots of fun.  https://www.youtube.com/watch?v=1qD5uDm7YJE&list=PLXzqtyJRzR_Sx7uc1xtViCTFd_b88xrNV&index=9,0,4,4,0,0,0,0,0,4
193,"Reminder to apply for the 1 year data science course starting in July! Learn to code, learn databases, learn dashboards and learn AI. We are Africa's leading Data Science Academy and boast top graduates in high paying jobs. APPLY NOW!  https://explore-datascience.net/long-courses/data-science/2",1,24,19,5,0,0,0,0,19
194,AI is built to solve problems. Business can leverage AI for superior results.   https://www.helpnetsecurity.com/2020/06/15/ai-adoption-business/,0,8,8,0,0,0,0,0,8
195,"An explosion of data along with cheaper storage, increased compute and stronger algorithms are driving the power of Data Science.  https://www.youtube.com/watch?v=7Qjd9h-JsQ0&list=PLXzqtyJRzR_Sx7uc1xtViCTFd_b88xrNV&index=14",0,3,3,0,0,0,0,0,3
196,"In the world of AI, there are so many divisions within the field.   https://www.nesta.org.uk/feature/ai-glossary/",0,8,7,1,0,0,0,0,7
197,Where is Data Science heading towards?  https://www.forbes.com/sites/cognitiveworld/2020/06/13/the-present-and-future-of-data-science-an-interview-with-anthony-scriffignano-senior-vice-president--chief-data-scientist-at-dun--bradstreet/#c952975c76a2,0,13,12,1,0,0,0,0,12
198,Apply for Africa's leading Data Science Course. 10 DAYS LEFT!   Launch your career. Learn Data Science.   https://explore-datascience.net/long-courses/data-science/1,0,11,9,1,0,1,0,0,9
199,Predict the future. Discover the power of machine learning at EXPLORE.  https://www.youtube.com/watch?v=8wVuOoP9qgk&feature=emb_logo,0,6,5,1,0,0,0,0,5
200,Register now for EXPLORE's 1 Year Data Science course online.  Starts 6 July. Places are limited.  https://www.youtube.com/watch?v=aeCGUxAcIWQ&feature=emb_logo,1,26,24,2,0,0,0,0,24
201,What are my opportunities after EXPLORE's comprehensive Data Science course?   https://youtu.be/it_Jt3xoM2I,0,15,13,2,0,0,0,0,13
202,"You've aced the EXPLORE data science program, a huge offer has come through and now you need to navigate the world. Here are some tips on how you can maximise your future data science career!  https://dataconomy.com/2020/05/lyft-data-scientist-shares-five-pieces-of-career-advice/",0,3,3,0,0,0,0,0,3
203,Ethical and responsible AI can make or break a data science project. We make sure our data scientists are compliant and learn about fair data models.  https://themetropolitan.metrostate.edu/2020/06/data-vs-lore-an-introduction-to-the-ethical-concerns-surrounding-artificial-intelligence/,0,5,5,0,0,0,0,0,5
204,Apply now for our cutting edge Data Science course delivered online. Starting 6 July 2020.  Join the revolution.  https://explore-datascience.net/long-courses/data-science/1,1,10,9,1,0,0,0,0,9
205,Our courses are built by professionals in the industry.   https://it-online.co.za/2019/06/18/thames-water-gains-strategic-analytics-from-sa-firm/,0,17,16,1,0,0,0,0,16
206,"Data Science is a future proof skill set, even after a pandemic.  https://www.analyticsinsight.net/data-ai-skills-witness-rise-demand-covid-19/",0,12,10,2,0,0,0,0,10
207,"South Africa's youth are talented. You are talented. Don't let your background define you.Upskill and reskill to master your future.  EXPLORE believes in tackling unemployment, and training in scarce skills.   ✔️ +90% employment ✔️ R360,000 Average starting salary ✔️ +400 alumni in the workforce",8,26,26,0,0,0,0,0,26
208,Time is running out to sign up for our 1 Year Online Data Science course.  Course starts 6 July - register now.  https://www.youtube.com/watch?v=aeCGUxAcIWQ&list=PLXzqtyJRzR_Sx7uc1xtViCTFd_b88xrNV&index=11,5,375,347,23,3,1,1,0,347
210,"Machine learning can be applied to any industry; all it requires is data. That means that any company, in any industry will need data scientists. That is why data science is a hot skill!",0,10,8,2,0,0,0,0,8
211,"As a data scientist, you will be the keeper of the AI entity in an organisation. AI will be fast and effective, but only if a data scientist can maintain its standard. Here are some tips to remember when you take your AI journey.  https://adage.com/article/industry-insights/7-tips-leveraging-ai-improve-user-experience/2257371",0,13,11,2,0,0,0,0,11
212,"Get ready for the fourth industrial revolution with a comprehensive data science course! Our applications are still open for online and on-campus, but filling up fast!",2,13,13,0,0,0,0,0,13
213,,5,67,54,13,0,0,0,0,54
214,South Africa has the talent to build a generation of future data scientists. Cell C have invested in the community and in building talent of digital skills for their organisation.  https://lnkd.in/dCjfz53,0,9,8,0,0,1,0,0,8
215,The world is changing and technology is the driving force of this change. AI is here to make the difference in this world and accelerate our growth as humans!    https://www.datasciencecentral.com/profiles/blogs/how-machine-learning-is-changing-the-world,0,14,11,3,0,0,0,0,11
216,There are so many fields where analytics can make a difference. Here are 5 uses of data analytics in hospitals.  https://www.businesswire.com/news/home/20200528005348/en/High-Value-Cases-Data-Analytics-Hospitals-Free-Resource,1,7,6,1,0,0,0,0,6
217,Learning about AI and analytics is important for business. Implementing these is what makes them so powerful . Reskilling and upskilling will be key to create a culture which adopts these new techniques.   https://www.mckinsey.com/business-functions/mckinsey-analytics/our-insights/accelerating-analytics-to-navigate-covid-19-and-the-next-normal?cid=other-eml-alt-mip-mck&hlkid=780c59ea485d4d50b22fba9e3d948bc2&hctky=11926951&hdpid=70ae87b8-b9c7-4003-af3e-11d69e13d361,1,11,9,2,0,0,0,0,9
218,"With the growth in computational power, cloud services and innovative technology, harnessing huge datasets have become easier than ever. Data is the key to making informative decisions and is a highly valued skill in any business. Forging a career in data has never been more accessible and individuals from all backgrounds are succeeding!",1,20,18,2,0,0,0,0,18
219,Learning and Development will be done through distance learning. The future of learning will be online compared to brick and mortar.   https://www.hrdive.com/news/to-defend-budgets-in-a-downturn-ld-must-focus-on-the-future/578182/,0,13,12,1,0,0,0,0,12
220,"IT industries are surviving during lockdown. The ability to work remotely and the need for companies to operate digitally are all contributing to positive IT employment. As a testimony to this, at EXPLORE, we are actually expanding aggressively our operations!   If you’re interested in a digital skill that’s employable even during lockdown, apply for our online course now!   https://explore-datascience.net/long-courses/data-science  https://l.facebook.com/l.php?u=https%3A%2F%2Fmybroadband.co.za%2Fnews%2Fbusiness%2F352691-good-news-for-software-developers-in-south-africa.html&h=AT2TsEEgYF_unSV4osDaUA3YF-5nkI5v1Zu_iqE5K_Ix36P10JFNX0LpGpEzWbZPE8rhssxI9MtF7tiXSTaQEP3F_6uj5fvclttdYucY5OIQXDXTw_rvY0LUIVc6Rrs&s=1",0,13,12,1,0,0,0,0,12
221,"Machine learning and AI are great in practice, but in the real world, there are key factors to consider when deploying a model. Ethics, discrimination, scalability and responsible learning are just some social aspects to machine learning.   Microsoft has announced some new tools and AI that focuses on more fair models.   https://blogs.microsoft.com/ai/azure-responsible-machine-learning/",0,9,9,0,0,0,0,0,9
222,87% of companies have a current skills gap. 43% of organisations are looking to fill data analytics skill gaps. Training in these skills and hiring the right candidates will be crucial to building this pipeline of talent.  https://www.mckinsey.com/business-functions/organization/our-insights/beyond-hiring-how-companies-are-reskilling-to-address-talent-gaps,0,7,6,0,0,1,0,0,6
223,"Corporate education is moving online. Why not make your personal education online as well? Flexible times, no classrooms and smart platforms are just some perks of digital learning.  https://www.forbes.com/sites/brandonbusteed/2020/05/16/corporate-education-will-never-return-to-the-classroom/#d4112c729a01",0,12,12,0,0,0,0,0,12
224,What can EXPLORE's comprehensive Data Science course give you?  ✅ Advanced Python Coding ✅ SQL Database Design ✅ Extensive PowerBI Dashboards ✅ Latest Machine Learning Techniques  Get an accredited set of skills to help you launch your career!  https://www.youtube.com/watch?v=ntRzevAp3Lo,1,9,6,3,0,0,0,0,6
225,"Companies are heading towards digitisation in their operations. Most jobs in the future will have a technological and data component. Are you ready for this future?  Applications for flagship courses are still available!   Our 400+ alumni have :  ✅ 97%+ graduation ✅ 93%+ employment ✅ R360,000 average annual salary  https://explore-datascience.net/long-courses/data-science/2",0,5,5,0,0,0,0,0,5
226,What are the skills that every data scientist needs? Here are the basic skills that EXPLORE’s data scientists use and learn everyday to make them ready for the workplace.,0,16,12,4,0,0,0,0,12
227,"What is the foundational role of a data scientist? At EXPLORE, we believe in 4 simple techniques which make a data scientist job ready - the ability to gather data, analyse data, visualise/explain the data and deploy a model.",0,13,11,2,0,0,0,0,11
228,"Through our ability to solve problems, we are tackling unemployment. We have helped over 400 new data scientists enter into the economy to solve new problems.  Here are stories of some of our alumni who have launched their futures in data science.  Learn Data Science in 6 or 12 months, online or on campus. Get a job. Design your future.  https://m.youtube.com/watch?feature=youtu.be&v=6D84JKSqUZg",0,8,6,2,0,0,0,0,6
229,COVID-19 lockdowns caused global internet surges. Why didn’t the internet break?   https://www.itnewsafrica.com/2020/05/why-covid-19-didnt-break-the-internet/,0,2,1,1,0,0,0,0,1
230,"During this pandemic, educational institutions at all levels are closing across the world. Thankfully, we live in a digital world.   EXPLORE offers all the courses to learn these future digital skills, digitally!",0,7,6,1,0,0,0,0,6
231,"Get a foot into the world of data science! Whether you’re looking to start your career or reskill yourself, we have the course for you! We operate and offer our courses throughout all levels of the lockdown.  https://explore-datascience.net/home/our-courses  https://www.youtube.com/watch?time_continue=1&v=ntRzevAp3Lo&feature=emb_logo",0,10,9,1,0,0,0,0,9
232,Enrol now for our 12-month Data Science on-line course and learn the latest advances in machine learning. Join the revolution now.  https://www.youtube.com/watch?v=aeCGUxAcIWQ&feature=emb_logo,0,9,7,2,0,0,0,0,7
233,EXPLORE’s versatile online learning platform makes all our courses relevant during this lockdown period. Our courses can be completed under all restriction levels!   Interested in a part-time or sponsored course?   https://explore-datascience.net/long-courses/data-science/2,0,6,5,1,0,0,0,0,5
234,Artificial Intelligence (AI) in medicine is becoming extremely relevant and implementable. Google is investigating how to implement AI in reading retinal scans to aide nurses in diabetic related screenings!  https://www.technologyreview.com/2020/04/27/1000658/google-medical-ai-accurate-lab-real-life-clinic-covid-diabetes-retina-disease/,1,15,11,2,0,2,0,0,11
236,One question many businesses ask is “How do you I incorporate data science into my business model?” Great read on how the working relationship between human and machine can be made to answer this question.   https://africa.com/how-businesses-can-unleash-the-power-of-human-machine-collaboration/,0,7,7,0,0,0,0,0,7
